word,participant,duration,n_samples,mean_amplitude,std_amplitude,max_amplitude,min_amplitude,avg_quality
اختر,par.1,11.54814887046814,1480,4260.243811121283,23.894520481828998,4704.358887,3990.769287,3.857142857142857
اختر,par.10,10.782905101776123,1382,4320.122585498243,27.45412636825848,4576.282227,4103.077148,4.0
اختر,par.11,10.681410074234009,1369,4302.569862036941,34.06797974458661,4652.692383,3855.512939,4.0
اختر,par.12,10.837577104568481,1389,4321.894424707498,28.52182694366763,4644.871582,4080.897461,4.0
اختر,par.13,10.736069202423096,1376,4319.4513375915185,24.11181933902957,4656.794922,4134.487305,4.0
اسفل,par.1,14.444947004318237,1851,4268.21383987964,20.18528644425383,4718.461426,4040.128174,3.857142857142857
اسفل,par.10,10.782912969589233,1382,4319.944908057784,44.53968293161845,4601.794922,4086.538574,4.0
اسفل,par.11,10.743871927261353,1377,4304.477962973597,28.480723283808775,4627.563965,3977.435791,4.0
اسفل,par.12,10.7985360622406,1384,4327.882590159682,37.647140233751394,4657.692383,4081.538574,4.0
اسفل,par.13,10.814149141311646,1386,4322.28627836075,54.142979913678964,5233.589844,4052.820557,4.0
اعلى,par.1,11.45445203781128,1468,4266.183334511046,14.440453685441154,4703.205078,4071.153809,3.857142857142857
اعلى,par.10,10.814149141311646,1386,4318.038278363637,30.114265484531593,4694.358887,4139.743652,4.0
اعلى,par.11,10.931269884109497,1401,4306.443049725706,26.927482513626348,4610.769043,4017.564209,4.0
اعلى,par.12,10.634569883346558,1363,4324.490203248297,30.911334447349216,4651.538574,4041.410156,4.0
اعلى,par.12,10.73607587814331,1376,4323.372206337936,27.43343341118739,4633.974121,4088.076904,4.0
انذار,par.1,11.34513783454895,1454,4264.861465012969,15.745878359896539,4712.94873,4068.333252,3.857142857142857
انذار,par.10,10.798527002334595,1384,4324.611295704944,38.247940161319086,4575.256348,4073.718018,4.0
انذار,par.11,10.782912015914917,1382,4304.522033272536,32.809902440894334,4631.666504,3923.846191,4.0
انذار,par.12,10.759495973587036,1379,4325.47231849363,33.1717310629588,4613.717773,3972.05127,4.0
انذار,par.13,10.618946075439453,1361,4364.15829660911,142.77039470552967,6229.358887,3847.820557,4.0
ايقاف تشغيل,par.1,12.243067979812622,1569,4267.21222394578,16.58916677519957,4697.05127,4074.230713,3.857142857142857
ايقاف تشغيل,par.10,10.85318899154663,1391,4315.361461442538,21.06750554609942,4552.820313,4166.025879,4.0
ايقاف تشغيل,par.11,10.743873834609985,1377,4306.469949551924,20.086878757876274,4629.230957,4132.692383,4.0
ايقاف تشغيل,par.12,10.751690149307251,1378,4324.071595909392,40.70211460157854,4706.410156,4095.128174,4.0
ايقاف تشغيل,par.13,10.845382928848267,1390,4323.570103952827,57.20729396119467,6225.384766,3508.718018,4.0
تشغيل,par.1,11.188977003097534,1434,4267.020431527346,13.36098634270349,4690.0,4080.128174,3.857142857142857
تشغيل,par.10,11.204554080963135,1436,4313.902106486123,36.07440569235834,4581.153809,3557.94873,4.0
تشغيل,par.11,10.782916784286499,1382,4307.5393274113085,25.548688398011574,4594.230957,4069.358887,4.0
تشغيل,par.12,10.736073017120361,1376,4319.833095183139,21.063299094360726,4606.922852,4151.410156,4.0
تشغيل,par.13,10.814153909683228,1386,4323.564452140744,22.354325884064217,4575.128418,4178.974121,4.0
جوع,par.1,12.313340902328491,1578,4268.736501906301,17.3305340315431,4703.846191,4077.94873,3.857142857142857
جوع,par.10,10.946887016296387,1403,4318.398146175898,23.278755345705072,4538.717773,4102.307617,4.0
جوع,par.11,10.767298936843872,1380,4305.961996578468,25.041342184567107,4653.717773,4024.871826,4.0
جوع,par.12,10.751690149307251,1378,4322.152824275555,31.928478823651183,4612.436035,3797.94873,4.0
جوع,par.13,10.775110960006714,1381,4330.321474412641,22.54214411775582,4571.794922,4105.384766,4.0
حذف,par.1,9.03392505645752,1158,4319.901656125338,72.13952989514097,6954.230957,3882.692383,4.0
حذف,par.10,10.790725946426392,1383,4310.243466206332,25.303470370311004,4628.717773,4120.641113,4.0
حذف,par.11,10.814157009124756,1386,4321.558594445475,26.016837004122046,4579.102539,3872.94873,4.0
حذف,par.12,10.60333800315857,1359,4318.862385826448,43.541638601391256,4578.333496,4051.666748,4.0
حذف,par.13,10.806347131729126,1385,4327.1363581410005,60.413393656006356,4799.358887,3963.333252,4.0
حمام,par.,10.751694917678833,1378,4327.403871553597,31.72712161586699,5033.846191,4080.769287,4.0
حمام,par.1,11.563764810562134,1482,4264.511300845335,16.394269694340526,4705.897461,4065.256348,3.857142857142857
حمام,par.10,9.158840894699097,1174,4336.291270964408,35.917515142326096,4751.410156,4104.230957,4.0
حمام,par.11,10.728255033493042,1375,4306.1386864849355,35.544813752995786,4758.077148,3919.487061,4.0
حمام,par.12,10.876619100570679,1394,4327.024116967154,29.726975619456887,4596.794922,4037.435791,4.0
دواء,par.,10.728261947631836,1375,4302.645539380104,28.05459036085295,4627.94873,4073.461426,4.0
دواء,par.1,11.321714878082275,1451,4266.695205842079,14.414872721696412,4714.487305,4056.410156,3.857142857142857
دواء,par.10,10.767299890518188,1380,4319.164780646687,25.985837627023045,4607.563965,4154.615234,4.0
دواء,par.11,10.806339025497437,1385,4303.027334713925,25.981766046842715,4687.692383,4120.0,4.0
دواء,par.12,10.76730489730835,1380,4316.9791745638195,65.95178762469872,4607.563965,3974.102539,4.0
عطش,par.1,11.048431873321533,1416,4264.203996069865,22.31862477720796,4767.436035,3983.461426,3.857142857142857
عطش,par.10,10.923463106155396,1400,4321.389143266174,26.476233335541497,4579.102539,4151.410156,4.0
عطش,par.11,10.798530101776123,1384,4281.484237827053,46.92293984558359,4616.666504,4027.94873,4.0
عطش,par.12,10.712652206420898,1373,4322.083869128238,23.701764964640848,4606.410156,4151.922852,4.0
عطش,par.13,10.829769134521484,1388,4311.740878797498,26.319787383115962,4704.743652,3940.384521,4.0
لا,par.1,11.774582862854004,1509,4268.269212735729,14.719394368438586,4704.487305,4082.435791,3.857142857142857
لا,par.10,10.767299175262451,1380,4321.001851072878,25.914201780582584,4621.025879,4035.384521,4.0
لا,par.11,10.782914161682129,1382,4306.486749720437,26.325925386463517,4648.717773,4066.538574,4.0
لا,par.12,10.720458030700684,1374,4321.883706514556,27.724661579621976,4591.666504,4116.282227,4.0
لا,par.13,10.798535823822021,1384,4316.931201309041,24.98771918604732,4640.384766,4156.794922,4.0
مسافة,par.1,11.149937152862549,1429,4260.865842949415,65.44277954238446,4759.230957,3781.538574,3.857142857142857
مسافة,par.10,10.790721893310547,1383,4302.441083051029,20.674212430072338,4593.077148,4129.358887,4.0
مسافة,par.11,10.915656089782715,1399,4330.802948076279,32.70391430099284,4595.641113,3848.076904,4.0
مسافة,par.12,10.743872880935669,1377,4320.085244260763,61.178056185809794,4663.205078,3660.769287,4.0
مسافة,par.13,10.946892023086548,1403,4299.711802622594,47.48246014623704,4867.05127,3768.589844,4.0
نعم,par.1,11.274865865707397,1445,4263.995190130449,17.9324807014166,4756.538574,4071.666748,4.0
نعم,par.10,10.782896041870117,1382,4299.093744307267,25.842474922795418,4743.461426,4056.410156,4.0
نعم,par.11,10.845377922058105,1390,4306.813702059867,28.689441107911176,4626.922852,4128.333496,4.0
نعم,par.12,10.743879079818726,1377,4327.342454083567,109.97504507408493,5323.077148,3293.846191,4.0
نعم,par.13,10.759486198425293,1379,4326.092199718895,47.87793861839861,4731.538574,4058.846191,4.0
يسار,par.1,12.032249927520752,1542,4264.610650397118,17.06354225891171,4738.205078,4071.794922,4.0
يسار,par.10,10.775083065032959,1381,4300.254778107013,20.833339932485583,4606.153809,4117.820313,4.0
يسار,par.11,10.884422063827515,1395,4307.911549652228,23.068300042801063,4625.0,4088.846191,4.0
يسار,par.12,10.821956872940063,1387,4328.846113326758,44.11042672781705,4820.641113,3945.512939,4.0
يسار,par.13,10.720438957214355,1374,4320.237613985392,117.08427846928372,4704.871582,3751.538574,4.0
يمين,par.1,11.415410995483398,1463,4268.279854709403,16.02070913801373,4725.512695,4068.076904,4.0
يمين,par.10,10.7672860622406,1380,4330.193064993634,46.4481031086097,4814.743652,4156.794922,4.0
يمين,par.11,10.7828950881958,1382,4299.525076678985,21.140750668045918,4615.897461,4113.461426,4.0
يمين,par.12,10.736064910888672,1376,4312.874840543241,23.561702645552284,4623.589844,4143.077148,4.0
يمين,par.13,10.291009902954102,1319,4329.267906494098,50.68991051324531,4768.974121,3902.179443,4.0
